2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
68.98632,69.27948,69.57367,68.250175,66.92149,66.00221,64.98521
34.793755,36.417007,38.039646,39.008244,39.9691,41.55212,43.064312
-17.111624,-16.459246,-15.806546,-15.446922,-15.096348,-13.364834,-11.728542
8.184181,6.1857004,4.1871405,2.6069334,1.0260304,1.9591733,2.7299778
41.3684,40.449287,39.53003,39.164993,38.796333,39.78908,40.708706
23.14945,22.949251,22.748114,21.265078,19.780602,15.946786,12.096534
63.36715,64.40111,65.4332,66.46915,67.50672,67.52672,67.44066
-80.62434,-81.802025,-82.98072,-79.57271,-76.181564,-75.001945,-73.837845
76.04512,76.85242,77.65993,76.756325,75.842896,77.56623,79.13136
-21.771507,-21.833885,-21.896454,-22.152992,-22.394194,-22.56937,-22.649399
-7.838055,-9.523637,-11.2093725,-13.877794,-16.556416,-16.52644,-16.429321
-4.0991707,-3.8810003,-3.6615098,-5.335774,-7.025219,-7.3504033,-7.794527
4.9042735,6.0779147,7.2525268,7.2914405,7.322101,5.9755034,4.4675384
3.572778,3.0468447,2.519869,1.2634461,0.017751988,-0.6683232,-1.3655927
43.38904,45.604153,47.81896,49.39912,50.977226,54.592487,58.12678
76.21964,75.58087,74.943306,70.012,65.066895,62.570183,60.22969
15.63091,15.909388,16.187452,15.201896,14.217036,13.753926,13.234172
0.5930141,0.5317215,0.46957147,1.9616855,3.442596,2.74999,2.0702758
-4.0148387,-4.3360515,-4.657207,-5.093742,-5.5395503,-3.8622832,-2.1688056
5.761615,4.9158325,4.0707607,6.0108747,7.94394,9.511379,11.149128
-10.621638,-11.036065,-11.4504175,-10.955596,-10.47393,-12.92271,-15.299264
-89.271805,-90.20612,-91.141136,-90.08275,-89.01393,-89.04599,-89.01684
39.259624,38.78791,38.31517,36.99843,35.668976,33.77657,31.798332
44.720203,45.407917,46.09571,45.26205,44.43125,43.048588,41.792805
79.6212,79.62376,79.62755,78.43863,77.25357,75.377525,73.42677
