FIPS,2014 RPL_THEMES,2015 RPL_THEMES,2016 RPL_THEMES,2017 RPL_THEMES,2018 RPL_THEMES,2019 RPL_THEMES,2020 RPL_THEMES
12089,22.57,27.72,32.86,28.72,24.59,27.18,29.76
12091,39.38,37.33,35.28,36.94,38.6,46.22,53.85
12093,98.5,97.74,96.98,95.82,94.65,92.79,90.93
12095,67.72,68.4,69.09,68.0,66.91,73.51,80.11
12097,86.34,85.92,85.51,83.64,81.78,84.54,87.3
12099,58.01,57.6,57.18,56.55,55.92,67.38,78.84
12101,63.87,63.77,63.67,63.56,63.44,69.07,74.7
12103,53.23,52.49,51.74,51.72,51.69,62.08,72.47
12105,93.22,93.0,92.77,91.56,90.35,91.12,91.88
12107,94.87,95.02,95.16,95.21,95.25,95.96,96.66
12109,9.77,9.3,8.82,8.22,7.61,11.96,16.3
12111,78.35,77.55,76.76,74.3,71.85,75.26,78.68
12113,32.44,33.27,34.1,32.53,30.96,38.68,46.4
12115,32.12,30.2,28.27,26.82,25.38,33.3,41.22
12117,16.91,17.39,17.86,18.15,18.44,26.01,33.58
12119,38.08,33.44,28.81,26.2,23.6,25.6,27.59
12121,95.7,96.06,96.43,95.34,94.24,91.09,87.94
12123,77.24,80.77,84.3,87.07,89.84,87.62,85.39
12125,84.75,86.98,89.21,86.52,83.82,74.15,64.48
12127,63.9,61.43,58.96,56.21,53.47,59.63,65.79
12129,52.02,53.96,55.91,48.12,40.32,31.57,22.82
12131,66.57,67.96,69.34,63.78,58.22,64.82,71.42
12133,77.36,80.12,82.87,86.13,89.39,87.78,86.16
13001,86.25,90.29,94.33,95.51,96.69,92.8,88.92
13003,94.33,91.38,88.44,92.29,96.15,93.34,90.52
13005,80.07,81.98,83.89,88.89,93.89,93.6,93.32
13007,63.1,59.26,55.43,64.83,74.24,72.1,69.96
13009,85.35,84.76,84.18,85.42,86.66,87.68,88.7
13011,60.49,63.42,66.35,61.1,55.86,53.44,51.02
13013,46.67,48.68,50.68,46.36,42.04,47.3,52.55
13015,63.99,62.82,61.64,60.39,59.14,61.28,63.43
13017,96.34,94.49,92.65,89.96,87.26,91.42,95.58
13019,88.03,84.53,81.03,83.02,85.0,77.59,70.18
13021,89.68,90.7,91.72,91.74,91.75,93.7,95.64
13023,72.72,75.01,77.3,75.63,73.95,68.58,63.21
13025,63.32,62.16,61.0,61.64,62.29,54.95,47.61
13027,89.53,89.66,89.78,86.88,83.98,86.96,89.94
13029,19.96,27.0,34.03,33.96,33.89,34.72,35.55
13031,80.29,79.68,79.08,80.14,81.21,81.87,82.53
13033,91.69,89.56,87.42,85.98,84.55,76.5,68.46
13035,67.78,70.96,74.15,75.34,76.53,74.45,72.37
13037,89.02,89.88,90.74,94.24,97.74,96.6,95.45
13039,42.66,49.03,55.4,53.5,51.59,55.92,60.25
13043,98.15,97.61,97.07,97.68,98.28,98.71,99.14
13045,84.43,84.76,85.1,81.68,78.25,77.53,76.8
13047,32.03,28.68,25.34,19.26,13.18,20.36,27.53
13049,79.05,78.4,77.75,82.64,87.52,91.04,94.56
13051,64.66,66.62,68.58,69.04,69.49,76.36,83.23
13053,60.46,68.99,77.52,70.66,63.79,69.04,74.28
13055,94.14,93.49,92.84,92.68,92.52,91.87,91.22
13057,20.22,18.62,17.03,14.44,11.85,17.07,22.28
13059,74.08,74.76,75.45,76.1,76.75,79.43,82.11
13061,98.63,97.56,96.5,94.8,93.09,93.6,94.11
13063,91.75,91.86,91.98,91.5,91.02,93.2,95.39
