FIPS,2014 EPL_DISABL,2015 EPL_DISABL,2016 EPL_DISABL,2017 EPL_DISABL,2018 EPL_DISABL,2019 EPL_DISABL,2020 EPL_DISABL,2021 EPL_DISABL,2022 EPL_DISABL
10005,42.31,39.7,37.09,36.69,36.29,35.74,35.2,36.82,38.43
11001,14.45,14.45,14.45,15.76,17.06,15.55,14.04,12.02,9.99
12001,9.71,9.76,9.81,9.88,9.96,11.3,12.64,12.88,13.11
12003,47.85,51.72,55.59,60.58,65.58,60.26,54.93,50.96,46.99
12005,62.56,66.9,71.25,75.72,80.2,80.01,79.82,79.09,78.36
12007,77.17,79.0,80.83,81.46,82.08,73.39,64.7,67.22,69.74
12009,47.85,46.56,45.27,48.14,51.0,53.41,55.82,55.31,54.79
12011,16.05,15.04,14.04,12.94,11.84,11.66,11.49,10.94,10.4
12013,96.5,95.14,93.79,91.96,90.13,92.33,94.53,94.67,94.81
12015,85.8,86.24,86.69,88.25,89.81,91.12,92.43,90.54,88.64
12017,86.44,87.06,87.68,87.92,88.16,88.67,89.18,88.91,88.64
12019,31.65,30.06,28.46,29.68,30.91,30.38,29.85,29.08,28.32
12021,16.71,16.09,15.47,14.98,14.49,15.58,16.68,14.61,12.54
12023,72.62,74.21,75.8,78.0,80.2,83.96,87.71,84.94,82.18
12027,47.85,45.46,43.08,39.68,36.29,46.06,55.82,65.77,75.72
