FIPS,2014 EPL_SNGPNT,2015 EPL_SNGPNT,2016 EPL_SNGPNT,2017 EPL_SNGPNT,2018 EPL_SNGPNT,2019 EPL_SNGPNT,2020 EPL_SNGPNT
12125,92.87,92.94,93.0,92.36,91.72,92.06,92.39
12127,40.5,39.54,38.59,36.47,34.35,37.84,41.34
12129,89.75,90.16,90.58,74.98,59.38,47.99,36.6
12131,24.93,26.36,27.79,28.7,29.61,51.18,72.76
12133,16.36,26.07,35.78,56.74,77.71,87.14,96.56
13001,78.22,78.79,79.37,84.78,90.19,84.16,78.13
13003,91.98,92.82,93.66,90.88,88.09,88.94,89.78
13005,48.52,61.12,73.73,83.46,93.19,93.93,94.68
13007,20.82,12.78,4.74,9.32,13.91,14.71,15.5
13009,82.81,77.02,71.22,64.48,57.75,76.57,95.39
13011,55.33,62.96,70.58,57.88,45.18,29.7,14.23
13013,76.06,77.97,79.88,82.25,84.62,84.38,84.15
13015,63.61,66.18,68.74,72.76,76.79,71.08,65.37
13017,98.98,97.06,95.13,96.04,96.94,96.38,95.83
13019,73.07,54.27,35.47,42.24,49.0,51.22,53.44
13021,95.51,96.14,96.78,95.88,94.97,95.9,96.82
13023,78.45,68.84,59.22,56.67,54.12,76.22,98.31
13025,74.31,53.98,33.65,44.81,55.97,34.6,13.24
13027,41.74,44.12,46.51,31.79,17.06,54.5,91.95
13029,91.4,92.58,93.76,94.65,95.54,94.49,93.44
13031,85.1,85.46,85.83,87.79,89.75,84.98,80.2
13033,97.71,97.95,98.19,94.19,90.19,73.72,57.26
13035,50.02,54.92,59.82,67.26,74.69,81.17,87.65
13037,83.09,88.84,94.59,96.39,98.19,98.97,99.75
13039,60.74,74.19,87.65,88.7,89.75,92.57,95.39
13043,96.24,97.07,97.9,98.41,98.92,97.65,96.37
13045,76.28,80.92,85.55,82.3,79.05,85.26,91.47
13047,54.89,46.4,37.92,28.02,18.12,24.3,30.49
13049,66.09,62.08,58.07,38.71,19.36,31.26,43.16
13051,80.64,83.04,85.45,87.6,89.75,89.28,88.8
13053,7.8,40.13,72.46,77.16,81.85,90.48,99.11
13055,79.69,72.34,64.98,51.45,37.92,41.54,45.16
13057,56.16,46.54,36.93,32.43,27.92,44.5,61.08
13059,58.52,54.46,50.4,54.08,57.75,65.26,72.76
13061,96.69,89.11,81.53,80.29,79.05,80.1,81.16
13063,98.47,98.8,99.14,99.19,99.24,98.89,98.54
13065,95.73,96.88,98.03,96.62,95.22,96.72,98.22
13067,77.14,76.28,75.42,72.57,69.72,70.67,71.61
13069,83.44,82.31,81.18,85.18,89.18,83.66,78.13
13071,95.83,95.82,95.8,94.0,92.2,91.28,90.36
13073,70.26,64.22,58.17,53.58,49.0,60.88,72.76
13075,63.16,69.56,75.96,76.38,76.79,72.04,67.28
13077,64.92,67.86,70.81,66.57,62.34,72.77,83.2
13079,84.85,77.07,69.28,59.14,49.0,33.19,17.38
